,1,2,3,4,5,6,7,8,9,10
5,"((-5844, 8092), (-5406, 8288), (-11180, 8410), (0, 0))","((-7577, 10375), (-3166, 10602), (-6410, 10847), (0, 0))","((-7701, 10477), (-2726, 10860), (-5306, 10661), (0, 0))","((-8819, 12001), (-2148, 12176), (-4488, 12216), (0, 0))","((-8676, 12008), (-1663, 12221), (-3592, 12252), (0, 0))","((-8882, 12134), (-1734, 12182), (-3416, 12246), (0, 0))","((-8618, 12154), (-5840, 12040), (-11536, 12226), (0, 0))","((-8554, 12042), (-6125, 11929), (-12544, 12070), (0, 0))","((-8572, 12006), (-6670, 12396), (-12914, 12167), (0, 0))","((-31327, 44555), (-24030, 44226), (-48418, 44643), (0, 0))"
6,"((-6022, 8142), (-5534, 8310), (-10952, 8348), (0, 0))","((-7702, 10470), (-2937, 10701), (-5894, 10595), (0, 0))","((-8976, 12006), (-3131, 12273), (-5728, 12062), (0, 0))","((-7603, 10451), (-2196, 10718), (-3698, 10587), (0, 0))","((-8878, 11862), (-1714, 12098), (-3038, 12077), (0, 0))","((-8781, 11999), (-1722, 12328), (-3208, 11948), (0, 0))","((-8633, 11913), (-5612, 12068), (-10678, 11773), (0, 0))","((-8703, 12073), (-6256, 12042), (-11874, 12049), (0, 0))","((-8855, 12197), (-6445, 12135), (-12978, 12165), (0, 0))","((-31151, 44039), (-24075, 44251), (-48146, 44329), (0, 0))"
7,"((-12251, 16261), (-11047, 16565), (-18890, 15437), (0, 0))","((-16931, 22529), (-6593, 22789), (-9632, 21710), (0, 0))","((-16974, 22400), (-5212, 22632), (-7694, 21555), (0, 0))","((-17198, 22578), (-4187, 22591), (-5954, 21467), (0, 0))","((-16722, 22242), (-3090, 22842), (-3090, 21623), (0, 0))","((-18037, 24099), (-3184, 24164), (-2448, 22828), (0, 0))","((-17576, 23896), (-11451, 24231), (-14058, 21057), (0, 0))","((-17259, 23787), (-12371, 24295), (-20860, 22552), (0, 0))","((-17698, 23942), (-12892, 24004), (-23092, 22992), (0, 0))","((-63950, 88290), (-47970, 88902), (-84220, 84616), (0, 0))"
8,"((-12294, 16316), (-10972, 16644), (-13136, 14952), (0, 0))","((-17316, 22472), (-6798, 22912), (-3560, 21410), (0, 0))","((-17443, 22507), (-5314, 22650), (-2788, 21380), (0, 0))","((-17876, 23682), (-4527, 24143), (-794, 22919), (0, 0))","((-16563, 22337), (-2850, 22588), (1182, 21095), (0, 0))","((-16718, 22166), (-3212, 22646), (2420, 21606), (0, 0))","((-17688, 23892), (-11501, 24169), (-4050, 21807), (0, 0))","((-17742, 23984), (-12550, 24070), (-10934, 21005), (0, 0))","((-17736, 23884), (-12975, 23981), (-17262, 22543), (0, 0))","((-65374, 88726), (-48557, 89197), (-66864, 83792), (0, 0))"
9,"((-19106, 24658), (-16475, 24987), (-10098, 22449), (0, 0))","((-26931, 34073), (-10039, 34791), (2352, 32518), (0, 0))","((-26571, 34189), (-8396, 34622), (5448, 32542), (0, 0))","((-26641, 34309), (-6803, 35011), (7668, 32366), (0, 0))","((-26677, 34361), (-5097, 34683), (10678, 32595), (0, 0))","((-26297, 34129), (-5154, 34836), (11584, 32384), (0, 0))","((-26449, 34401), (-16551, 34985), (4744, 32242), (0, 0))","((-27430, 35926), (-18780, 36016), (-672, 32970), (0, 0))","((-27565, 36165), (-19321, 35977), (-10594, 31329), (0, 0))","((-99900, 132484), (-72185, 133117), (-59530, 121259), (0, 0))"
10,"((-17518, 24650), (-16104, 24740), (-182, 22289), (0, 0))","((-23977, 34253), (-10054, 34684), (13054, 31879), (0, 0))","((-23674, 34100), (-8147, 34885), (15656, 31998), (0, 0))","((-23541, 34039), (-6778, 34724), (17698, 32099), (0, 0))","((-24796, 35646), (-4810, 36216), (21360, 33792), (0, 0))","((-23177, 33825), (-5319, 34913), (21016, 32484), (0, 0))","((-23329, 34185), (-16582, 34508), (14540, 31992), (0, 0))","((-23075, 34129), (-18225, 34927), (10422, 32483), (0, 0))","((-24379, 35511), (-19350, 35892), (5300, 33008), (0, 0))","((-88246, 132330), (-71667, 132407), (-648, 114500), (0, 0))"
11,"((-8134, 31758), (-21421, 32707), (4960, 30482), (0, 0))","((-13395, 44831), (-13214, 46904), (23340, 43298), (0, 0))","((-12581, 44623), (-11459, 47107), (25564, 43014), (0, 0))","((-12401, 45119), (-8959, 46895), (28656, 43576), (0, 0))","((-12706, 45128), (-7062, 46882), (31616, 43498), (0, 0))","((-12149, 44551), (-7104, 46986), (32390, 43567), (0, 0))","((-11753, 45697), (-22360, 46864), (21782, 43393), (0, 0))","((-11511, 44955), (-24274, 46576), (16006, 43275), (0, 0))","((-12012, 45824), (-25463, 46939), (9640, 43346), (0, 0))","((-45504, 174320), (-94941, 177045), (29346, 164799), (0, 0))"
12,"((-42892, 57516), (-38833, 58311), (-47370, 53957), (0, 0))","((-58011, 77407), (-23569, 78511), (-40804, 75160), (0, 0))","((-62018, 82162), (-21111, 83193), (-36740, 78742), (0, 0))","((-61504, 81664), (-17493, 83309), (-33762, 78857), (0, 0))","((-61285, 81777), (-13202, 83106), (-30796, 79362), (0, 0))","((-62404, 83404), (-13210, 84312), (-29370, 80925), (0, 0))","((-60247, 81879), (-39390, 82706), (-42708, 78300), (0, 0))","((-60735, 82139), (-42298, 82722), (-53804, 78014), (0, 0))","((-61875, 82377), (-44347, 83095), (-63218, 77919), (0, 0))","((-218972, 301936), (-164761, 305263), (-237520, 285972), (0, 0))"
13,"((-43792, 57190), (-38489, 58241), (-51316, 54406), (0, 0))","((-64740, 83804), (-24874, 84564), (-53066, 80795), (0, 0))","((-59402, 77552), (-19531, 79047), (-46200, 74846), (0, 0))","((-63706, 82878), (-16899, 83071), (-44850, 79041), (0, 0))","((-63411, 82035), (-13452, 83016), (-42314, 79257), (0, 0))","((-62515, 81367), (-12692, 82722), (-38454, 79029), (0, 0))","((-61846, 81872), (-39465, 83059), (-49908, 77852), (0, 0))","((-63950, 82460), (-42347, 82425), (-60414, 78311), (0, 0))","((-61948, 82132), (-44754, 82712), (-66586, 77685), (0, 0))","((-227069, 302995), (-163486, 303272), (-256896, 285144), (0, 0))"
14,"((-38392, 49476), (-33330, 50062), (-46490, 46967), (0, 0))","((-56128, 71436), (-21197, 72809), (-52246, 68561), (0, 0))","((-55917, 71529), (-18471, 72423), (-51392, 69156), (0, 0))","((-51485, 65649), (-13545, 65893), (-44842, 63963), (0, 0))","((-54564, 69996), (-10805, 70787), (-45432, 67822), (0, 0))","((-54135, 69763), (-11464, 71240), (-43698, 67781), (0, 0))","((-56170, 71648), (-33780, 71630), (-49338, 67959), (0, 0))","((-53795, 70139), (-36289, 70611), (-54118, 66827), (0, 0))","((-53635, 70137), (-37533, 70087), (-62112, 66790), (0, 0))","((-197321, 258633), (-140122, 259894), (-237878, 244913), (0, 0))"
